station,line,local_authority,zone,usage
Northolt,Central,Ealing,5,5.18
Northwick Park,Metropolitan,Brent,4,4.52
Northwood,Metropolitan,Hillingdon,6,3.04
Northwood Hills,Metropolitan,Hillingdon,6,2.01
Notting Hill Gate,"District[c]
Central
Circle",Kensington and Chelsea,1 & 2,16.34
Oakwood,Piccadilly,Enfield,5,2.89
Old Street,Northern,"Islington
Hackney",1,26.38
Osterley,Piccadilly[l],Hounslow,4,2.19
Oval,Northern,Lambeth,2,7.36
Oxford Circus,"Central
Bakerloo
Victoria",City of Westminster,1,84.09
Paddington,"District[c]
Circle
Bakerloo",City of Westminster,1,"48.82
[note 4]"
Paddington,"Hammersmith & City[m]
Circle",City of Westminster,1,"48.82
[note 4]"
Park Royal,Piccadilly,Ealing,3,2.02
Parsons Green,District,Hammersmith and Fulham,2,6.76
Perivale,Central,Ealing,4,2.51
Piccadilly Circus,"Bakerloo
Piccadilly",City of Westminster,1,40.82
Pimlico,Victoria,City of Westminster,1,10.97
Pinner,Metropolitan,Harrow,5,3.43
Plaistow,"District[j]
Hammersmith & City",Newham,3,6.13
Preston Road,Metropolitan,Brent,4,3.63
Putney Bridge,District,Hammersmith and Fulham,2,5.38
Queen's Park,Bakerloo,Brent,2,5.65
Queensbury,Jubilee[e],Brent,4,4.65
Queensway,Central,City of Westminster,1,8.52
Ravenscourt Park,District,Hammersmith and Fulham,2,3.21
Rayners Lane,"Metropolitan
Piccadilly[k]",Harrow,5,4.32
Redbridge,Central,Redbridge,4,2.94
Regent's Park,Bakerloo,City of Westminster,1,3.61
Richmond,District,Richmond,4,8.33
Rickmansworth,Metropolitan,Three Rivers,7,2.71
Roding Valley,Central,"Epping Forest
Redbridge",4,0.37
Royal Oak,"Hammersmith & City[m]
Circle",City of Westminster,2,2.62
Ruislip,"Metropolitan
Piccadilly[k]",Hillingdon,6,1.99
Ruislip Gardens,Central,Hillingdon,5,1.16
Ruislip Manor,"Metropolitan
Piccadilly[k]",Hillingdon,6,2.04
Russell Square,Piccadilly,Camden,1,11.45
St. James's Park,"District[i]
Circle",City of Westminster,1,14.29
St. John's Wood,Jubilee[g],City of Westminster,2,7.79
St. Paul's,Central,City of London,1,17.2
Seven Sisters,Victoria,Haringey,3,18.33
Shepherd's Bush,Central,Hammersmith and Fulham,2,22.62
Shepherd's Bush Market,"Hammersmith & City[m]
Circle",Hammersmith and Fulham,2,3.73
Sloane Square,"District[i]
Circle",Kensington and Chelsea,1,17.23
Snaresbrook,Central,Redbridge,4,2.93
South Ealing,Piccadilly[l],Ealing,3,3.66
South Harrow,Piccadilly[h],Harrow,5,2.22
South Kensington,"District[i]
Piccadilly
Circle",Kensington and Chelsea,1,33.86
South Kenton,Bakerloo,Brent,4,1.21
South Ruislip,Central,Hillingdon,5,2.02
South Wimbledon,Northern,Merton,3 & 4,4.87
South Woodford,Central,Redbridge,4,5.28
Southfields,District,Wandsworth,3,6.03
Southgate,Piccadilly,Enfield,4,5.59
Southwark,Jubilee,Southwark,1,16.71
Stamford Brook,District,Hammersmith and Fulham,2,2.69
Stanmore,Jubilee[e],Harrow,5,3.92
Stepney Green,"District[j]
Hammersmith & City",Tower Hamlets,2,6.34
Stockwell,"Northern
Victoria",Lambeth,2,11.7
Stonebridge Park,Bakerloo,Brent,3,2.54
Stratford,"Central
Jubilee",Newham,2 & 3,61.99
Sudbury Hill,Piccadilly[h],"Ealing
Harrow",4,1.88
Sudbury Town,Piccadilly[h],"Brent
Ealing",4,1.81
Swiss Cottage,Jubilee[g],Camden,2,7.76
Temple,"District[i]
Circle",City of Westminster,1,8.95
Theydon Bois,Central,Epping Forest,6,0.95
Tooting Bec,Northern,Wandsworth,3,8.07
Tooting Broadway,Northern,Wandsworth,3,16.21
Tottenham Court Road,"Central
Northern",City of Westminster,1,41.33
Tottenham Hale,Victoria,Haringey,3,12.47
Totteridge & Whetstone,Northern,Barnet,4,2.54
Tower Hill,"District[i]
Circle",Tower Hamlets,1,21.03
Tufnell Park,Northern,Islington,2,4.11
Turnham Green,"District
Piccadilly",Hounslow,2 & 3,6.16
Turnpike Lane,Piccadilly,Haringey,3,10.74
Upminster,District,Havering,6,5.52
Upminster Bridge,District,Havering,6,1.15
Upney,District,Barking and Dagenham,4,2.7
Upton Park,"District[j]
Hammersmith & City",Newham,3,9.59
Uxbridge,"Metropolitan
Piccadilly[k]",Hillingdon,6,8.38
Vauxhall,Victoria,Lambeth,1 & 2,30.83
Victoria,"District[i]
Circle
Victoria",City of Westminster,1,79.36
Walthamstow Central,Victoria,Waltham Forest,3,9.59
Wanstead,Central,Redbridge,4,2.95
Warren Street,"Northern
Victoria",Camden,1,20.11
Warwick Avenue,Bakerloo,City of Westminster,2,4.27
Waterloo,"Waterloo & City
Bakerloo
Northern
Jubilee",Lambeth,1,91.27
Watford,Metropolitan,Watford,7,1.86
Wembley Central,Bakerloo,Brent,4,5.93
Wembley Park,"Metropolitan
Jubilee[f]",Brent,4,16.58
West Acton,Central,Ealing,3,1.72
West Brompton,District,Kensington and Chelsea,2,5.88
West Finchley,Northern,Barnet,4,1.69
West Ham,"District[j]
Hammersmith & City
Jubilee",Newham,2 & 3,4.41
West Hampstead,Jubilee[e],Camden,2,11.8
West Harrow,Metropolitan,Harrow,5,1.53
West Kensington,District,Hammersmith and Fulham,2,5.23
West Ruislip,Central,Hillingdon,6,1.72
Westbourne Park,"Hammersmith & City[m]
Circle",City of Westminster,2,4.13
Westminster,"District[i]
Circle
Jubilee",City of Westminster,1,25.6
White City,Central,Hammersmith and Fulham,2,8.84
Whitechapel,"District[j]
Hammersmith & City",Tower Hamlets,2,13.8
Willesden Green,Jubilee[e],Brent,2 & 3,8.8
Willesden Junction,Bakerloo,Brent,2 & 3,4.68
Wimbledon,District,Merton,3,12.61
Wimbledon Park,District,Merton,3,2.18
Wood Green,Piccadilly,Haringey,3,12.89
Wood Lane,"Hammersmith & City
Circle",Hammersmith and Fulham,2,4
Woodford,Central,Redbridge,4,5.98
Woodside Park,Northern,Barnet,4,3
